Country;City;Vegan Friendly
UK;Glasgow;3.7 vegan restaurants per 100,000 residents
New Zealand;Wellington;3.7 vegan restaurants per 100,000 residents
Switzerland;Zurich;3.7 vegan restaurants per 100,000 residents
Poland;Warsaw;4.0 vegan restaurants per 100,000 residents
USA;Washington, DC;4.1 vegan restaurants per 100,000 residents
France ;Paris;4.3 vegan restaurants per 100,000 residents
USA;Seattle, Washington;4.4 vegan restaurants per 100,000 residents
Czech Republic;Prague;4.4 vegan restaurants per 100,000 residents
USA;Salt Lake City, Utah;4.5 vegan restaurants per 100,000 residents
Taiwan;Taipei;4.6 vegan restaurants per 100,000 residents
UK;Bristol;4.7 vegan restaurants per 100,000 residents
Vietnam;Da Nang;4.9 vegan restaurants per 100,000 residents
USA;Las Vegas, Nevada;4.9 vegan restaurants per 100,000 residents
UK;Manchester;5.8 vegan restaurants per 100,000 residents
USA;San Francisco California;5.9 vegan restaurants per 100,000 residents
Canada;Vancouver, BC;6.0 vegan restaurants per 100,000 residents
USA;Atlanta, Georgia;6.1 vegan restaurants per 100,000 residents
USA;Portland, Oregon;8.2 vegan restaurants per 100,000 residents
Netherlands;Amsterdam;8.3 vegan restaurants per 100,000 residents
UK;Brighton;9.3 vegan restaurants per 100,000 residents
Portugal;Lisbon ;9.5 vegan restaurants per 100,000 residents
Israel;Tel Aviv;11.2 vegan restaurants per 100,000 residents
Thailand;Phuket;15.1 vegan restaurants per 100,000 residents
Indonesia;Ubud, Bali;28.1 vegan restaurants per 100,000 residents
Thailand;Chiang Mai;32.2 vegan restaurants per 100,000 residents
